h_value,h_freq,s_value,s_freq,v_value,v_freq
49.68495119,6.308783484,,,,
50.8321758,6.495560564,,,,
51.46223801,2.253524611,,,,
52.74518859,1.78143145,,,,
53.81529666,1.732906985,,,,
59.67300078,29.24219722,,,,
59.66090746,24.99744027,,,,
59.65002346,21.17715902,,,,
59.63913947,17.35687776,,,,
59.62825548,13.53659651,,,,
59.61737149,9.71631525,,,,
59.6019525,4.304250138,,,,
66.44435558,1.786419947,,,,
67.83569258,1.792315442,,,,
68.79892589,1.796396939,,,,
179.4637304,2.265315603,,,,
180.2129119,2.2684901,,,,
207.7185741,2.385039517,,,,
212.6426736,2.724257273,,,,
214.0333303,2.49138519,,,,
215.2128074,3.265735884,,,,
216.5745157,3.605018426,,,,
217.7139661,6.429543968,,,,
219.0637107,7.936069886,,,,
220.1538375,9.547613371,,,,
220.5766504,7.692346204,,,,
221.8620196,8.069204433,,,,
222.8346252,11.36297257,,,,
223.9923451,9.867071499,,,,
224.9782275,12.45445558,,,,
225.8229613,8.430870424,,,,
227.0050082,10.10723197,,,,
227.6618572,7.75420356,,,,
228.9245212,7.674659717,,,,
230.2085299,7.573982789,,,,
231.1702516,7.047469667,,,,
231.6944972,3.22945591,,,,
232.9830409,4.720562839,,,,
234.273701,6.954502234,,,,
235.5555934,6.11099284,,,,
236.2252613,3.248654063,,,,
239.7420001,48.04520072,,,,
239.6222762,43.58775242,,,,
239.6113922,39.76747116,,,,
239.6005082,35.94718991,,,,
239.5896242,32.12690865,,,,
239.5787402,28.3066274,,,,
239.5678562,24.48634614,,,,
239.5569722,20.66606488,,,,
239.5460882,16.84578363,,,,
239.5352042,13.02550237,,,,
239.5243202,9.205221117,,,,
239.5098083,4.111512776,,,,
240.4893676,47.41166167,,,,
240.4784836,43.59138042,,,,
240.4675996,39.77109916,,,,
240.4567156,35.9508179,,,,
240.4458316,32.13053665,,,,
240.4349476,28.31025539,,,,
240.4240636,24.48997414,,,,
240.4131796,20.66969288,,,,
240.4022956,16.84941163,,,,
240.3914116,13.02913037,,,,
240.3805276,9.208849115,,,,
240.3660156,4.115140774,,,,
243.6814006,3.280247874,,,,
244.5636086,12.41010331,,,,
244.6023829,7.237032531,,,,
246.0815627,11.77982947,,,,
245.7521665,5.638770108,,,,
246.9236209,14.33022094,,,,
247.5561018,10.93713637,,,,
248.5713796,7.742749454,,,,
249.7935483,7.402287812,,,,
250.5310597,3.309271853,,,,
251.6164356,8.619753038,,,,
251.9248153,4.164118739,,,,
252.363803,7.986213993,,,,
252.8835137,2.576416379,,,,
254.5687184,5.554851073,,,,
255.9331046,5.04520382,,,,
257.1763416,6.733194393,,,,
258.47716,5.019600524,,,,
258.5564922,2.812689709,,,,
259.5635639,18.20401515,,,,
259.4438399,13.74656685,,,,
259.4329559,9.926285599,,,,
259.9753416,4.962278165,,,,
260.3109313,17.57047611,,,,
260.3000473,13.75019485,,,,
260.2891633,9.929913597,,,,
261.7718805,4.444608287,,,,
262.9581601,7.606634766,,,,
264.0278146,7.398931915,,,,
264.8048108,4.643165561,,,,
265.5370616,11.22556217,,,,
266.5931111,6.242507746,,,,
266.284429,10.59202312,,,,
267.6081298,2.957161748,,,,
269.6838626,39.25819103,,,,
269.5641387,34.80074273,,,,
269.5532547,30.98046147,,,,
269.5423707,27.16018022,,,,
269.5314867,23.33989896,,,,
269.5206027,19.51961771,,,,
269.5097187,15.69933645,,,,
269.4988347,11.8790552,,,,
269.4879507,8.058773941,,,,
269.4770667,4.238492685,,,,
270.43123,38.62465198,,,,
270.4203461,34.80437073,,,,
270.4094621,30.98408947,,,,
270.3985781,27.16380822,,,,
270.3876941,23.34352696,,,,
270.3768101,19.52324571,,,,
270.3659261,15.70296445,,,,
270.3550421,11.88268319,,,,
270.3441581,8.062401938,,,,
270.3332741,4.242120683,,,,
272.4760601,5.047082604,,,,
273.7653597,6.803486843,,,,
274.5038083,3.039439547,,,,
275.6106498,6.492952941,,,,
276.3294468,5.222586978,,,,
277.500383,2.999078076,,,,
279.0230535,4.024259439,,,,
279.6929027,21.26060296,,,,
279.6808094,17.01584601,,,,
279.6699254,13.19556475,,,,
279.6590414,9.375283495,,,,
280.2645542,4.029520035,,,,
281.8909401,3.893152683,,,,
282.9699518,6.969830523,,,,
283.7629867,3.582732156,,,,
284.7956811,9.184813632,,,,
284.9587898,3.826563814,,,,
287.8014769,12.38107934,,,,
287.7893836,8.136322385,,,,
287.7784996,4.316041129,,,,
289.0587292,2.888877655,,,,
290.1303489,3.370947808,,,,
290.7945748,11.12035024,,,,
290.9221593,5.815008719,,,,
292.111689,3.856872709,,,,
293.3450569,4.764098808,,,,
293.7678698,2.90883164,,,,
294.9456084,3.072998522,,,,
299.8899642,48.08782969,,,,
299.8778709,43.84307273,,,,
299.8669869,40.02279148,,,,
299.8561029,36.20251022,,,,
299.8452189,32.38222897,,,,
299.8343349,28.56194771,,,,
299.8234509,24.74166646,,,,
299.8125669,20.9213852,,,,
299.8016829,17.10110395,,,,
299.790799,13.28082269,,,,
299.779915,9.460541434,,,,
299.765403,4.366833093,,,,
305.7558313,3.331039837,,,,
306.6247367,7.791662633,,,,
307.6581113,10.94925129,,,,
308.9871677,10.56073164,,,,
310.0598456,11.41421803,,,,
310.5777422,5.367706874,,,,
310.9457572,3.061207531,,,,
311.7716557,11.20923618,,,,
312.1132921,5.904801655,,,,
313.2497623,4.105617281,,,,
314.4270474,4.110605777,,,,
314.7810795,15.67892897,,,,
314.7689862,11.43417202,,,,
314.8636769,7.104973426,,,,
316.0363666,5.496954281,,,,
317.3203754,5.396277353,,,,
318.6763394,3.719300344,,,,
319.7447846,29.91972574,,,,
319.6250607,25.46227744,,,,
319.6141767,21.64199618,,,,
319.6032927,17.82171493,,,,
319.5924087,14.00143367,,,,
319.5815247,10.18115242,,,,
319.9946629,4.930079688,,,,
320.4921521,29.28618669,,,,
320.4812681,25.46590544,,,,
320.4703841,21.64562418,,,,
320.4595001,17.82534292,,,,
320.4486161,14.00506167,,,,
320.4377321,10.18478041,,,,
321.5982378,4.300168641,,,,
322.7019048,16.03084471,,,,
322.2608008,11.46591699,,,,
322.2828711,6.69071659,,,,
323.8759853,14.91097262,,,,
324.6652561,10.20269365,,,,
324.5985916,5.586293717,,,,
325.7005958,16.73331571,,,,
325.3663666,12.11578203,,,,
325.3514011,6.8628953,,,,
326.8761577,16.13342634,,,,
327.5003093,9.816765428,,,,
328.5553763,4.488824505,,,,
328.994364,8.31091976,,,,
329.8318267,39.30082,,,,
329.8197334,35.05606305,,,,
329.8088494,31.23578179,,,,
329.7979654,27.41550054,,,,
329.7870814,23.59521928,,,,
329.7761974,19.77493802,,,,
329.7653134,15.95465677,,,,
329.7544294,12.13437551,,,,
329.911038,4.494568835,,,,
330.1716491,8.315908256,,,,
331.6600351,4.820332767,,,,
332.7629463,16.28571153,,,,
332.3212376,11.50854596,,,,
332.3436102,6.839464483,,,,
333.9415012,16.73639951,,,,
334.7320419,12.47382002,,,,
334.5557439,6.941690868,,,,
335.7781144,22.77166387,,,,
335.7660211,18.52690692,,,,
336.1082622,13.43471025,,,,
335.4231754,10.88498391,,,,
335.4131984,7.383059426,,,,
337.0340062,12.80192703,,,,
337.6906737,17.89835637,,,,
338.7468745,12.96836141,,,,
338.9423328,18.96483644,,,,
338.9514028,9.626522315,,,,
